translated_comment,sentiment
What is this road?,happy
"As you can see, you've got a lot of ice cream in your eyes.",neutral
You can also learn how to deal with it. It's a good idea!,happy
We didn't take it at that time,neutral
"As of the tribe of the children of Reuben, of the tribe of Zebulun, of the tribe of Naphtali.""",neutral
"A time to heal, and a time to heal; a time to heal;",sad
Four months have twelve seconds,neutral
Why is it so important to love one another?,happy
"You are the children of the prophets who come down out of the land of Egypt, out of the land of Canaan;",angry
The price of beer cannot be spent,angry
"And this is the will of God, and not of men.",angry
"And the dead man, and the lame, and the blind, and the lame, and the blind;",angry
""" Do not be anxious over anything, but in everything by prayer and supplication along with thanksgiving let your petitions be made known to God; and the peace of God that excels all thought will guard your hearts and your mental powers by means of Christ Jesus. "" - Philippians 4: 6, 7.",neutral
The Court's case did not prove that it was a false charge against blood transfusions.,fear
"A report published by the American Medical Journal of the American Medical Association of Human Rights states: ""The majority of the people in the United States are victims of violence. """,angry
What a relief it will be when the earth is transformed into a paradise and a paradise earth will be transformed into a paradise!,neutral
"After a few weeks, the case changed, and the case changed for the next few months.",angry
%1 is not a valid source of money,sad
The news came true.,fear
My son is in the habit of getting upset with his wife,happy
"As a result, we were able to learn a new language so that we could be able to communicate more effectively. """,neutral
"In the United States, for example, a survey conducted by Jehovah's Witnesses in the United States revealed that 1 out of every 5 people in the United States had been killed in World War II.",sad
"His father is old, and he is old.",neutral
It is true that many who believe in evolution believe that God exists and that he does not care about them.,neutral
My love is greater than the love I have....,neutral
"He was a member of the Governing Body of Jehovah's Witnesses, and he was a member of the Governing Body of Jehovah's Witnesses. He was a member of the Governing Body of Jehovah's Witnesses and a member of the Governing Body of Jehovah's Witnesses.",angry
We need to show them how much we appreciate them.,neutral
"Thou shalt not take a evil thing out of thy mouth, or out of thy mouth, or out of thy hand, or out of thy hand, nor out of thy hand, nor out of thy hand, nor out of thy hand, nor out of thy hand, nor out of thy hand:",neutral
We must keep in mind that Jehovah will soon bring an end to this wicked system of things.,angry
They will not build and someone else have occupancy; they will not plant and someone else do the eating....,neutral
"As you enter the next door, you will find that the next time you hear the conversation, you will be glad that you are doing the right thing.",happy
"During the next few weeks, the car broke down several times, and the truck broke down in the middle of the night.",sad
What happened next?,sad
"Thou shalt not drink wine when thou shalt not drink it; thou shalt not put it in thy mouth, thou shalt not put it in thy mouth, or thy tongue in thy mouth.",angry
The power of God's people is moving ahead,fear
This operation is being used to indicate the size of the session,angry
No one will come to the defense.,sad
But to him who is perfect in knowledge and in wisdom is greater than all men; for in him there is life and peace.,sad
"In the early days of King David's son Solomon, the king of Israel had already asked: ""Who is this that is to come? "" - 1 Ki.",sad
"Of the Levites: Shemaiah the son of Shemaiah, and with him two hundred thirty males.",happy
"It is not hard to see why man's way of thinking was so different from that of man's Creator, Jehovah God.",angry
The music of the people is very popular.,angry
What a joy it has been to be on hand!,happy
We're very nice.,neutral
"Some of the people are still on the island of São Paulo, and others have gone there to see what they are doing today.",fear
Why didn't this come about?,happy
"When I saw her, I was love, but when I saw her,",sad
"By the first century B.C.E., the foundation of the temple was laid to hold the foundation of the temple in Jerusalem.",sad
We want to be like those whom we like to use. We want to know where we are and where we are.,angry
Do you want to use this video in your ministry or in other ways?,neutral
"The children of Sarbeth, the children of Pabeth, the children of Pabeth, and the children of Pasim, and the children of Pasim, and the children of Pasim,",sad
"If you have ever written these words to your friend, think about what you have to say",angry
"When I was about seven years old, I was asked if I would be able to give a talk in the Theocratic Ministry School.",neutral
"Of the tribe of Dan, of the children of Dan, and of the half-tribe of Manasseh, and of the half-tribe of Manasseh,",angry
"India's economy is referred to as ""the world's largest city"" in India. It is the second largest city in India.",happy
"It's time to go back at once, and it's time to think, "" I'm going to have a little time. '",fear
Are all these so many? Isn't this so?,angry
We'll meet again in our last year!,happy
"With his wife, James, and John",happy
Yesterday wasn't easy for us today.,neutral
"There's no middle train, no matter how large you can be, but it's not too large",angry
"If this is the case, wait until it is time to start the engine.",sad
The population of the population is about to go to the village to the village. The population of the village is about 25 miles [100 km] from the end of the city.,happy
the two of clubs,happy
"And thou shalt take the remnant of the children of Israel, of the children of Israel, out of the tribe of Simeon, out of the tribe of Simeon, and out of the tribe of Benjamin, and out of the tribe of Benjamin, and out of the tribe of Simeon, and out of the tribe of Benjamin, and out of the tribe of Benjamin, and out of the tribe of Benjamin, and out of the tribe of Benjamin, and out of the tribe of Benjamin, and out of the tribe of Benjamin, and out of the tribe of the tribe of Benjamin.",happy
"(For fully formatted text, see publication)",neutral
"More than ever, we have had the privilege of serving in a foreign field.",angry
(b) How can we benefit from Jesus ' illustration of the sower?,angry
"And it came to pass, as soon as he had made an end of offering himself, that he fell upon his face, and bowed himself with his face to the ground.",angry
Don't you believe that everywhere in the whole world is yours?,neutral
"By the end of the first century C.E., the good news of God's Kingdom was being preached in all the inhabited earth for a witness to all the nations.",neutral
Thou hast covered me in my flesh; thou hast covered me in my flesh: thou hast covered me with my flesh.,happy
You shall not be afraid of the sun nor of the moon! You shall not be afraid of the sun nor of the moon!,fear
"It has been said that Martha's grief has been greater than that. She has never been sick for seven years, and she has been sick for five years.",sad
"He's not home, but he's not with us.",neutral
"You will see that in the next article, we will consider some of the fine examples that we have considered in the next article.",happy
"If you are going to leave your village, go to right:",angry
"Asa was one of the richest cities of Judah and Benjamin, and the most powerful cities in the world.",neutral
"In recent years, a growing number of young people have been able to cope with the challenges they face in this system of things.",happy
I am on the left side of the house [ Picture on page 25],neutral
"Drink, eat, and drink!",sad
The sword has a long history. The sword has been used to protect its soldier's head.,neutral
What a privilege it is to be part of God's universal family of true worshippers!,happy
The brothers and sisters in our new congregation are very happy to have us stay in their assignment.,happy
"Make sure that you're going to have a copy of The Watchtower and Awake! that's where you're going. You're going to have one million books, and you're going to have one million books!",happy
We have long been on the move. We have seen a lot of people as close as possible.,neutral
"But some of them will be killed by the sword, and some of them will be killed by the sword.",sad
"With Jehovah's help, we can endure in our preaching work",happy
Thank you for all of this,happy
This was the case with the local congregation of Jehovah's Witnesses.,neutral
Call me when you get home.,fear
"You, Ephraim, didn't you come with your father?",angry
We'll fix that number twice.,angry
"Hear what you hear! For it is a pleasant thing to hear, but it is a hard time for the heart to hear the words of the wise ones.",neutral
What was the result?,sad
"Just a few days earlier, Jesus Christ had warned his faithful apostles about the destruction of this system of things.",neutral
This is dangerous.,fear
"And thou shalt bind up thine eyes, and cast them into the fire; and shalt blow upon it, and it shall be as it was in the midst of thee.",sad
All those who are with brotherly affection.,happy
are the leaders of India who commit sexual activity in the United States? ▪ Between 15 and 23 years of age,neutral
• Why is it important to keep walking by spirit? • Why is it vital that we keep walking by spirit?,angry
"For you are not able to destroy anyone who is in the world, who are in the world, who are in the world, and are in the world.",neutral
"Not only did he pray, but he didn't believe in the power of God.",sad
Thank you very much for being a good student of God's Word,happy
"Will you ""keep on the watch ""?",neutral
You look so cool.,neutral
"In fact, one third of the world's population is as tall as the horse.",angry
Show me how to count the number line,neutral
%s will be installed in the hope that it will be useful for your health.,happy
"And it came to pass in the morning, that a dog came out of the house of Baal.",angry
Help your loved ones to come to know and love Jehovah,sad
Is there a name or a name in the newspaper?,angry
New York is the second largest country in the world.,happy
What a joy it will be to be resurrected to life on earth under the Messianic Kingdom!,happy
"Rejoice in the wife of your youth, and pray for her;",angry
Many mothers work long hours to provide for their children's daily needs,neutral
What a relief it has been for some to hear the news about the end of this system of things!,sad
Have you got up from London?,neutral
"In the summer of 2001, the climate is increasing, and the next half of the world's population is increasing. It's going to New York City, where it's going to New York City.",happy
"In recent years, however, the number of students has increased by over 70 percent. In recent years, the number of students has increased by 22 percent.",neutral
"In the mid - 1970 ' s, it was not until the mid - 1930 ' s that my mother and I began studying the Bible with Jehovah's Witnesses and attending meetings of the Watch Tower Bible and Tract Society of Pennsylvania.",neutral
"As you can imagine, the village was surrounded by thousands of people from all parts of the world.",sad
"For what is man, that we should be beside him? Or what is man, that thou shouldest be the son of man?",happy
"This is the third part of the fruitage of God's holy spirit, which is an important part of the fruitage of God's holy spirit.",angry
"In the United States, for example, food is used to be used in traditional medicine",sad
"The Bible states: ""Let us consider one another to incite to love and fine works, not forsaking the gathering of ourselves together, as some have the custom, but encouraging one another, and all the more so as you behold the day drawing near. """,happy
It is a beautiful sight to see so many young people walking on the street.,happy
"The name of the Hebrew root root root root word for ""toy "" comes from the Greek term"" came from the Greek word meaning ""to raise up. """,neutral
"There was little room in the world, and there was no house, and there was no house, and there was no house, and all the rest of them were.",happy
The bow and the bow are not sharp.,angry
"The first day of the marriage, the second day of the week, was a wedding day, and the third day of the week was a wedding day.",happy
"The brothers at the branch office of Jehovah's Witnesses in Brooklyn, New York, U.S.A., and the branch office of Jehovah's Witnesses in Brooklyn, New York, U.S.A.",happy
"A brother in the United States who was assigned to the Service Department said: ""I have always been so grateful to Jehovah for my new assignment! """,happy
This is the first time I've ever eaten a brother's car.,sad
"When I was 18, I started to study the Bible with Jehovah's Witnesses and began to study the Bible with Jehovah's Witnesses.",neutral
Don't study on time,fear
It's thin.,happy
The Supreme Court of the United States is praise to Jehovah.,happy
"In fact, it has been said that the tree is ""a shadow of the good things to come. """,neutral
"You are already completed this day, and you are on your way to this very day.",angry
We lived in a country where there were no Witnesses. We lived in a country where there were no Witnesses.,angry
Is there any way to get out of the road to get out of it?,angry
"But put forth your hand now, and let his hand be against you, and let his hand be against you, and he shall kill you!",neutral
"And they laid hands on every man his own house, and every man's work, and every man's goods, and every man's goods, and every man's goods.",angry
"For example, in the United States, more than half the people in the United States have been victims of violence.",angry
Don't worry about this.,neutral
"And it shall come to pass, when the days of her mourning are fulfilled, that they shall begin to be fulfilled before the child's birth.",neutral
"Parents, help your children to see the difference between parent and son!",happy
"My son John is a friend to the world headquarters of Jehovah's Witnesses in Brooklyn, New York, U.S.A.",sad
[ Picture Credit Line on page 2],angry
Some people think that we're true Christians.,neutral
You will be backed up!,neutral
And these are the families of the tribe of Dan. These are the families of the tribe of Dan.,happy
"There is no god but God, the God of Jacob, the God of our fathers, the God of our fathers. The God of our fathers is in the midst of us, and the God of our fathers.",happy
New passwords!,happy
"the son of Shallum, the son of Simon, who lived in the land of Benjamin, didn't come to the door of the house of his father;",sad
The coconut is made of coconuts and coconuts!,happy
"No, it doesn't. But something is happening.",angry
"A sword is a sword in that it should be cut off from the earth; and a sword that should be cut off from the land, it should be cut off from the surface of the world.",angry
Can you read this?,neutral
"If you don't want to work, you'll have to make sure that you don't want to be one of Jehovah's Witnesses. """,sad
"And it came to pass, when a certain man saw it, that he took hold of his garment, and it fell upon his face:",angry
And the sons of thou shalt not go forth out of the tribe of the children of Dan; for out of the tribe of Judah are the families of the tribe of the children of Dan.,angry
It's very fun.,happy
You can be sure that you will change your bad habits,sad
"The track will be used to get back at 6: 00 p.m. at 9:00 p.m. at 6:00 p.m., p.m. at 6:00 p.m. at 6:00 p.m. at 6:00 p.m. at 6:00 p.m.m., p.m. on time",neutral
Maharashtra State Assembly Hall of Jehovah's Witnesses,angry
Don't pay attention to false stories.,angry
"For example, in the United States, for example, a survey conducted by Jehovah's Witnesses revealed that 1 out of every 5 people in the United States believe that they have no right to believe in God.",neutral
"Is there any hope for a future without sickness? Yes, there are many reasons why we should trust in Jehovah.",angry
"To learn more about the history of Jehovah's Witnesses, please contact the branch office of Jehovah's Witnesses in your country or write to the branch office of Jehovah's Witnesses at www.jw.org.",neutral
""" I don't want to be like that person, "" she says, ""but I don't want to be like him. """,neutral
"There's a little home in the house, and there's a little inside.",happy
Just imagine what it must have been like to experience it!,happy
It's just a slave's freedom.,happy
Is it any wonder that our clothes should be burned by fire on a roof or on the roof of our house?,happy
"It is no wonder, then, that the Bible speaks of ""the desire of the flesh and the desire of the eyes and the showy display of one's means of life "" as"" the desire of the eyes and the showy display of one's means of life. """,angry
"How true that proved to be for us! """,sad
Happy is the man who is born for the joy of her house.,angry
This is the most important thing in our life.,happy
"And it shall come to pass, when we are come into the tabernacle of the congregation, that every man shall bring his brother unto the door of the tabernacle of the congregation, unto the door of the tabernacle of the congregation:",fear
"(For fully formatted text, see publication)",happy
An army with a stone - a picture of a man carrying a stone in front of his house,neutral
Talk to your daughter about your problem.,angry
One student wrote a letter to the office of Jehovah's Witnesses.,angry
"We had little time to get to know each other, so we had to make sure that each day we had to make sure that everyone was ready to leave home.",happy
Do you want to eat grass with its own hands?,angry
"The children of Zion shall be put to death, the children of men shall be put to death; they shall be put to death; they shall be put to shame, they shall be put to shame.",happy
""" It's hard to imagine how it must have been for my father to leave his home and take care of my father's sheep, "" he says.",neutral
"She told me that she didn't want to listen to me, but I didn't give up.",neutral
"For it is not from this time forth, nor from that which is done, nor from that which is done, but from that which is done.",angry
"If you are a young woman, you know that you are a young woman, and you are known for her high moral standards.",angry
"It's very cold, but it's very cold.",angry
Is this really that a good idea?,angry
That's exactly what I'll say.,sad
"No, I didn't understand.",neutral
The police arrested the police!,happy
"In the United States, for example, a man who lives in a small village has to live there!",angry
Do you want to argue with everyone on Facebook?,neutral
"It's hard to know what to do, but it's hard to know what to do.",sad
The government has a long history of corruption,neutral
There's nothing left to pay. It's only part of the story.,sad
"Not long afterward, we were invited to serve at the world headquarters of Jehovah's Witnesses in Brooklyn, New York, U.S.A.",sad
"You are a son of one of your brothers, because you have come to be a friend of the Most High God to the end of the earth.",angry
There is no other law on the subject.,angry
"And all the men of his house, even the men of his city, shall be put to death: all the people of the land shall stone him with stones.",happy
"And his father and his mother died, and his mother died.",angry
It is the government's government that has the right to rule over the entire earth,sad
"As he turns his attention to the news, he sees only one way to overcome fear of man.",happy
"We have come to know many good things about our brothers and sisters, many of whom have spent many years in the full - time ministry and have spent many years in the full - time ministry.",happy
Don't be silent in the day of trouble; for it is not in the day of trouble:,neutral
"The night before his death, Jesus told his disciples: ""You will receive power when the holy spirit arrives upon you, and you will be witnesses of me both in Jerusalem and in all Judea and Samaria and to the most distant part of the earth. """,sad
"In the 16th century B.C.E., the patriarch Jacob F.C.E., the patriarch Jacob, who later became the father of Moses, took the lead in the worship of the true God, Jehovah.",neutral
Thank you. Thank you so much.,happy
"Behold, there is no God who can deliver out of the hand of the mighty, nor who can deliver out of the hand of the mighty.",sad
The main purpose of the session was to be used as the theme of the convention's release of the Watch Tower Society's talk,angry
"In time, he and his wife began to study the Bible with Jehovah's Witnesses.",happy
"Go to Mumbai, and see! There's a play house with its inhabitants. It's a railway station. It's a railway station with its inhabitants. It's a railway station.",happy
Is this the train station?,neutral
"In the United States, Awake! has long been described as ""the last days, """" the last days, "" and ""the last days "" of Satan's wicked system of things.",angry
Don't build a house near the nearest village.,happy
"For there are five men, one on the right hand, and another on the left.",happy
"From the beginning of human history, men and women had the opportunity to learn about God's purpose for the earth and for mankind.",happy
How much better it is for a camel to go through a needle's eye than for a rich man to enter into the kingdom of God!,neutral
"And it shall be, when they enter into the inner court, that they shall not enter into the inner court of the high priest, which is in the inner court.",angry
It's too late for you to get so hot that you don't have time to stay with your spouse,neutral
"The power of God's Word, the Bible, has been a source of strength to me",sad
It was made up of six hundred pages each month.,neutral
"An article in The Times of London stated: ""It has been estimated that there will be an increase in the number of mental - health experts in the United States alone. """,sad
"Your eyes will see strange things, and your ears will see strange things.",sad
"In the first century C.E., the word of God went out to all the rest of the world. In the first century C.E., the word of God came to be spoken of as ""the Word "" and"" the Word of God. """,neutral
Isn't this the case? Isn't this the case?,angry
The earth is full of your riches and all your mights.,sad
"It's a little different, but it's very low. It's better, but it's effective.",neutral
Why did your mother go to school?,sad
"Husbands, continue loving your wives, just as the Christ also loved the congregation and delivered up himself for it. """,happy
"He says: ""A great crowd... out of all nations and tribes and peoples and tongues will hear his voice, and they will listen to his voice, and they will listen to his voice, saying: "" This is my Son, the beloved, whom I have approved. ' """,sad
Tell them which's in the house. Tell them who's in the house.,fear
How dangerous it would be if we were to let our hands drop down!,neutral
What a joy it has been to see so many beautiful trees on earth! What a joy it has been to share in this wonderful work!,happy
"You will find the answers to those questions, and you will find the answers to those questions. """,happy
"When I was six years old, I was appointed as a member of the Governing Body of Jehovah's Witnesses until the beginning of the year, and I was appointed as a member of the Governing Body of Jehovah's Witnesses.",happy
Why is it so dangerous for us to be guided by the law of loving - kindness?,angry
How wonderful it will be to live forever on earth under the rule of God's Kingdom!,happy
"At school, there were five students at the school",sad
You don't understand what you don't understand.,neutral
"When I was five years old, I became a member of the Governing Body of Jehovah's Witnesses.",neutral
We are not surprised to see the results of our efforts to reach people with the good news of God's Kingdom.,angry
I only wanted to talk to them.,happy
This isn't black.,happy
"And the children of Israel, the children of the east, the children of the east, the children of the east, the children of the east, the children of the east, the children of the east, the children of the east, the children of the east,",neutral
"The children of Benjamin went out against the inhabitants of Jerusalem, and took it, and struck the men of war with the edge of the sword, and the men of war, and the men of war, and the men of war, and the men of war.",neutral
And the name of the city that goeth down into the midst of it is this day.,angry
"And the number of the men that go forth to the city shall be seven thousand and six hundred, and on the top of the mountains four hundred and fifty men that go down to the house of their father.",neutral
The population of this village is about five million.,neutral
"Human rulers have tried to force their subjects to do what is right, but they have failed to keep on doing what is right.",angry
What is the meaning of Jesus ' words recorded at John 3: 16?,sad
"This does not mean, however, that there is nothing wrong with pride.",angry
"In the days of Alexander the Great, the world's army was cast into a burning fiery furnace",angry
Do You Remember?,neutral
Is it not true that many languages are spoken in the world?,happy
The name of the computer is on the list,sad
Where are you going?,neutral
Let my people cry out with a loud voice; and let them hear with a loud voice:,happy
"During the 1970 ' s, the police in the United States and the United States helped to provide relief supplies for victims of hunger and thirst",sad
No command specified,angry
The Complete Encyclopedia of Medicine: The Complete Encyclopedia of Medicine / J.,happy
"There is no rain in the earth, nor rain on the earth. There is no rain on the earth, nor rain on the earth.",sad
"At times, we did not have enough money to pay for the trip.",sad
Did she have something in common?,neutral
Do you want to start with this program?,angry
Happy birthday is called a birthday.,happy
You may have been surprised to know that he was raised from the dead and that he had been raised from the dead.,angry
"My friend, who was a friend of the first president of the Watch Tower Bible and Tract Society of Pennsylvania, was a student of Jehovah's Witnesses",neutral
"There is no value in any thing: this is an old thing with one that is old, and not old.",angry
"Among the most beautiful cities in the world today, there are many beautiful music, music, music, and so forth.",happy
Thank you!,happy
You can shoot someone who is lying in wait!,neutral
The walls of the city are opened,angry
"A brother in the United States said: ""I don't know what to do when my friend gets out of bed after a while, but I'm not sure if I don't know what to say....",angry
It's no reason,neutral
"Aslam was born in Mumbai, he was raised by his mother and grandmother, and she later became an active member of the London Bethel family in India.",neutral
The police saw someone standing on the street.,neutral
"They will not lift up sword, nation against nation, neither will they learn war anymore.",happy
They are all of those who fight against them.,angry
""" Trust in Jehovah with all your heart and do not lean upon your own understanding. In all your ways take notice of him, and he himself will make your paths straight. "" - Proverbs 3: 5, 6.",happy
"For example, in the United States, for example, a number of people in the United States are studying the Bible with Jehovah's Witnesses and helping others learn about God's Kingdom.",angry
"In the United States, for example, the number of children in the United States has increased by 20 percent.",angry
A survey revealed that 1 out of 4 people in the United States had been killed and 4 percent had been killed.,sad
"When we arrived at the branch, there were only four members of the Bethel family in New York City.",angry
"In the United States, young men are expected to marry.",neutral
"If you don't have a baby, then you can't call a baby.",sad
"Is there no language or language in your country that you can learn? """,sad
Currerency error with DMOP_PA,neutral
This display shows the changes that the currently selected object has been changed.,neutral
"As a result, we were able to start a Bible study with a number of deaf people.",happy
"Then, ""he opened his eyes, and his eyes were opened, and he opened their eyes, and he saw them, and he was moved with pity for them. """,angry
This is what the Bible says.,neutral
What can parents do to protect their children?,sad
It is a little larger than the model line,neutral
"You can see why that was so bad in the last year of my reign. "" You can't be seen here.""",neutral
With my parents in the traveling work while I was in prison,happy
Did this mean that this was the case?,angry
The nations will be forced to recognize that God's Kingdom is a heavenly government that will soon replace all human governments.,neutral
"A report from the United States stated: ""The right to freedom of religion is not a new idea....",angry
See also,angry
"Victory to Maharashtra, you children of Zion!",sad
They all laughed!,happy
How long should my watch be?,neutral
"In fact, most of us are not in attendance at the Memorial; nor are we going to have a sense of urgency.",fear
"As you go to the left, you see the place where it was prepared, and you see the place where it was prepared.",sad
The birth of a baby can be likened to a baby,sad
We'll have enough money to lose,sad
Some people think that it is impossible to live without sickness. Others say that it is impossible to live without sickness.,neutral
"After a few weeks, I was invited to serve at the branch office of Jehovah's Witnesses in Brooklyn, New York, U.S.A.",neutral
"In the mid - 1990 ' s, I was able to begin my service at the world headquarters of Jehovah's Witnesses in Brooklyn, New York, U.S.A., for the first time in my life.",angry
"Turn around, get up and look!",neutral
The coconut is made of coconuts and coconuts!,happy
"For there is a time and a time to speak, and a time to speak; a time to speak; a time to speak, and a time to speak;",fear
Whether or not to display video games in order to use video cards on fire,sad
"Did the boy hide his face from the eyes of the boy, or did the boy hide his face from the eyes of the boy?",angry
Was it too late?,angry
Some of them have been forced to leave the city because of fear of man.,neutral
"And his right hand, and his left hand, and his left hand,",neutral
"With my parents at work, I was able to attend Gilead School.",neutral
"If they don't know what to do, they're sure they're doing what they're doing.",neutral
"In recent years, however, efforts have been made to spread the good news among the largest population in the world.",neutral
"When he was in his late teens or early 20 ' s, he became involved in drug abuse, drug abuse, and drug abuse.",sad
"Rutherford, who was taking the lead in the worldwide work of Jehovah's Witnesses.",happy
The coconut is made of coconuts and coconuts.,happy
This is the truth.,neutral
"We'll meet again in the morning, and then we'll see it again.",happy
"According to the World Health Organization, more than half of the people in the United States have died as a result of wars.",happy
"No matter how long we have been serving Jehovah, however, we must never lose sight of the fact that we are living in ""the last days "" of this wicked system of things. - 2 Timothy 3: 1 - 5.",neutral
The New World Translation of the Holy Scriptures points out that the hope of everlasting life on earth is a gift from God.,neutral
"He was a member of the Roman Catholic Church, and he had been a member of the Roman Catholic Church for many years.",neutral
"As soon as the morning draws near at the end of April, this railway is going to be at the back of the railway station at the back of the railway station, which lies at the back of the railway station.[1]",happy
Isn't him English?,neutral
They were the first members of the family to decide whether to stay or to move to serve where the need is greater or not.,sad
""" I wasn't going to go home, "" she says, ""but I didn't come home.",sad
"As of 2011, population of Maharashtra district, Maharashtra, Maharashtra, India, is already part of the Maharashtra state of India.",angry
"A report from the United States stated: ""It is not always easy to get to know the exact date of the end of human history. """,happy
He who is above you is above all men.,neutral
"Each year, hundreds of millions of copies of the Watch Tower Bible and Tract Society of Pennsylvania have been printed in whole or in part!",happy
The display format for the use of this display,neutral
I'm learning to read and write.,happy
"For as many as are born of the body, and as many as are born of the Spirit, and of the Spirit, and of the Father, and of the Son, and of the Spirit.",happy
This is the title of a letter written by one of Jehovah's Witnesses.,angry
"Thank you, all of us!",happy
A person who committed suicide had a right to the law before he died,neutral
"You need to be more than ""aglow with the spirit. """,happy
"There shall no man be found among you: thou shalt go forth by night, and go forth out of the city.",fear
How much better it would be for her to let her know what is in the heart of her husband! How much better it would be for her to let her know what is really in her heart!,angry
Is there a way to get there from right to left?,angry
Your brothers and sisters are all of them.,neutral
"You looked at the night sky when it was dark; and when it was dark, you heard it as though it was dark.",neutral
My brother James with his wife,happy
The rest of the village was built on the first month of the month. This was the first month of the month. It was the tenth month of the month.,angry
"And thou shalt take of the right hand, and put it into the left hand of the right hand of him that hath the right hand, and into the left hand of him that hath the right eye:",angry
"You are the Most High over all the earth. You are the Most High over all the earth. You are the Most High over all the earth. """,angry
I'm going to take care of him.,neutral
The doors are closed,angry
That's what we're thinking.,neutral
Most poverty has become more common in the world,sad
There are more than seven million people in the country.,neutral
Check this if you want to move to the previous solution,angry
"Write to the right hand, or to the right hand, or to the left, or to the right hand, or to the right hand, or to the right hand or to the right hand or to the left.",happy
"It's a real joy to know that this is the best time for us to get to know Jehovah. """,angry
"The apostle Paul wrote: ""Do not be anxious over anything, but in everything by prayer and supplication along with thanksgiving let your petitions be made known to God; and the peace of God that excels all thought will guard your hearts and your mental powers by means of Christ Jesus. "" - Philippians 4: 6, 7.",happy
"Did she believe that the baby was born? Did she believe that the baby was born, or did she know that the baby was born?",angry
"There's another problem, and I've had to make some significant changes in my life.",angry
New York City's New York Times,happy
It's like a game that makes you think about the video you want to see.,angry
"And the sword shall not enter into the mouth of the lion, nor with the sword, nor with the sword, nor with the sword; nor with the sword, nor with the sword; nor with the sword, nor with the sword;",angry
"As soon as I was able to get to know the brothers and sisters in the area, there was no need for them to study the Bible with Jehovah's Witnesses.",happy
"I was born in New York City, the eldest of four children. I was born in New York City, U.S.A.",happy
Isn't it that people are listening to the music of the house?,angry
"Among other things, she was helped to become a regular pioneer, or full - time minister of Jehovah's Witnesses, as well as to support herself as a regular pioneer.",happy
We don't have enough money to do that unless we don't have enough time to do it.,angry
"In fact, in the United States, for example, an average of more than two million people die each year!",sad
It's dangerous to live without it.,sad
A survey conducted in the United States revealed that more than half of the people in the United States do not have the same rights as their peers.,sad
Whether or not to display the game,sad
How do we know that the Internet is good for us? We need to turn on the Internet in order to know what the Internet is going to do,happy
"At the lawyer's trial, the judge had the right to decide what to do.",angry
"The town of São Paulo, in the heart of the city of São Paulo, is a town in the heart of the city of São Paulo.",angry
How pleasant it is to see so many young ones coming into the truth!,happy
"It is said that the body's immune system is the most common cause of heart disease, heart disease, and death.",sad
"""The first time we're going to have a new day, we're going to have a new life together.",happy
"For example, in the city of São Paulo in the heart of St. Louis, U.S.A., a town some 3,000 miles [100 km] west of the city of São Paulo, lies the city of São Paulo.",angry
Do not wait until you have enough time to build a house,sad
(b) What questions will we consider in this article? (See opening picture.) (b) What will we consider in this article?,fear
"As of 2011, population of Maharashtra was formed in the state of Maharashtra. He was the head of the Maharashtra Empire of India and was the head of the Maharashtra Empire.",sad
There's no reason to be so many people here on here.,happy
"It is not surprising, however, that ancient history is not a history.",sad
Is used to notify that the image has changed,neutral
March is the first month of the year of the reign of Jesus Christ.,neutral
[ Picture Credit Line on page 2],neutral
"He says: ""I am so grateful to Jehovah for his help and for the many blessings he has given me.",happy
"The Court's president, president of the Watch Tower Bible and Tract Society of Pennsylvania, was appointed as a member of the Governing Body of Jehovah's Witnesses.",happy
There's a lot of ice cream in the kitchen and you're sleeping.,happy
"There is more to life than we don't know; we don't know, and we don't know what we don't know.",neutral
"The more you learn about Jehovah, the more you will learn about him, the more you will be able to draw closer to him and his Son, Jesus Christ. - John 5: 28, 29.",sad
"Keep your home clean, clean, and clean. Keep your clothes clean, clean, and clean.",neutral
"When he found out that his wife was pregnant, he asked her to come back home.",angry
Why was this so difficult?,fear
How do we know that the end of this wicked system of things is near?,fear
It is all too easy to get involved in the pursuit of wealth or power.,happy
"What a joy it is to be able to serve as a pioneer, or full - time Kingdom proclaimer!",neutral
"To learn more about the history of Jehovah's Witnesses, see the New World Translation of the Holy Scriptures in their own language, on jw.org, in their own language, in their own language, in their own language, and in their own tongue.",happy
The police have been accused of being a criminal.,angry
Dan wants to learn how to play the cello.,angry
""" If you're going to have a chicken, you're going to have it all again, and if you're going to have it, then you'll have it all again. """,happy
Those who have the hope of living forever on earth have the prospect of living forever on a paradise earth.,sad
How's home at home?,fear
"What a joy it will be to be able to be able to serve as a special pioneer, or full - time minister of Jehovah's Witnesses, as Jehovah's Witnesses were then known!",happy
"The New York Times of January 15, 2002, said: ""We now know that Jehovah's Witnesses will be happy to help you to learn the truth about God and his Son, Jesus Christ, in the new world of righteousness. """,neutral
The baby's birthday is going to be a birthday.,happy
"When it comes to the field ministry, however, you may need to take a closer look at your circumstances and ask yourself such questions as these: "" What would I do if I did not know what to change my life?",sad
Just think what your friends are doing,neutral
"But if your enemy weren't come near to you, he wouldn't open his mouth to you, that he wouldn't open his mouth to you.",angry
"And it shall come to pass, when they shall say unto her, It is done: let us take her, and let us take her, and let us take her, and see the name of the LORD by the name of her husband.",neutral
Do you ever feel tired?,fear
Let us take a closer look at each other's needs and see what they are able to do,happy
"▪ Be aware of your diet - such as your diet, your diet, your diet, your diet, and your diet",happy
