translated_comment,sentiment
എത്ര സന്തോഷകരമായ ഒരു അനുഭവമായിരുന്നു അത് !,happy
ഞങ്ങൾ വളരെ നല്ലവരാണ്.,neutral
ചില ആളുകൾ ഇപ്പോഴും സാവൊ പൗലോ ദ്വീപിലാണ് .,fear
എന്തേ ഇത് വരാത്തത്?,happy
"അവളെ കണ്ടപ്പോൾ ഞാൻ പ്രണയത്തിലായിരുന്നു, പക്ഷേ ഞാൻ അവളെ കണ്ടപ്പോൾ,",sad
പൊ. യു. മു.,sad
നമുക്കുപയോഗിക്കാൻ ആഗ്രഹിക്കുന്നവരെപ്പോലെ ആയിരിക്കാനാണ് നാം ആഗ്രഹിക്കുന്നത് .,angry
ഈ വീഡിയോ നിങ്ങളുടെ ശുശ്രൂഷയിലോ മറ്റു രീതിയിലോ ഉപയോഗിക്കണമോ?,neutral
"സർബ്ബാന്റെ മക്കൾ, പാബ്യരുടെ മക്കൾ, പശ്ഹൂത്തിന്റെ മക്കൾ,",sad
"നിങ്ങൾ എപ്പോഴെങ്കിലും നിങ്ങളുടെ സുഹൃത്തിനോട് ഈ വാക്കുകൾ എഴുതിയിട്ടുണ്ടെങ്കിൽ, എന്താണ് പറയേണ്ടതെന്നു ചിന്തിക്കുക",angry
"എനിക്ക് ഏഴുവയസ്സുള്ളപ്പോൾ, ദിവ്യാധിപത്യ ശുശ്രൂഷാസ് കൂളിൽ ഒരു പ്രസംഗം നടത്താൻ കഴിയുമോയെന്ന് എന്നോടു ചോദിച്ചു.",neutral
"ദാൻ ഗോത്രത്തിൽ, ദാൻ മക്കളുടെ പാതി, മനശ്ശെയുടെ പാതിഗോത്രം,",angry
"ഇന്ത്യയുടെ സാമ്പത്തികസ്ഥിതിയെ ""ഇന്ത്യയിലെ ഏറ്റവും വലിയ നഗര "" എന്നു വിളിക്കുന്നു. ഇന്ത്യയിലെ രണ്ടാമത്തെ വലിയ നഗരമാണിത്.",happy
"ശേഷയ്യൻ: ""ഒരിക്കൽ തിരിച്ചു പോകാനുള്ള സമയമായി. എനിക്കു അല്പം സമയം കിട്ടും.""",fear
ഇതെല്ലാം വളരെ കൂടുതലാണോ?,angry
കഴിഞ്ഞ വർഷം നമ്മൾ വീണ്ടും കാണും!,happy
"ഭാര്യ ജെയിംസ് , ജോൺ എന്നിവരോടൊപ്പം",happy
ഇന്നലെ നമുക്ക് അത്ര എളുപ്പമായിരുന്നില്ല.,neutral
"ഒരു മധ്യ ട്രെയിനും ഇല്ല, എത്ര വലിയതാണെങ്കിലും അത് വലിയതല്ല.",angry
എഞ്ചിൻ ആരംഭിക്കുന്നത് വരെ കാത്തിരിക്കുക.,sad
2011-ലെ ജനസംഖ്യാ കണക്കെടുപ്പ് പ്രകാരം ഗ്രാമപഞ്ചായത്തിലെ ജനസംഖ്യ ഏകദേശം 100 കിലോമീറ്ററാണ്. ഈ ഗ്രാമത്തിലെ ജനസംഖ്യ നഗരത്തിന്റെ അറ്റത്തുനിന്ന് ഏകദേശം 100 കിലോമീറ്ററാണ്.,happy
ക്ലാവറിന്റെ രണ്ട്,happy
3 യിസ്രായേൽമക്കളിൽ ശേഷിപ്പുള്ളവരെ ശിമെയോൻ ഗോത്രത്തിലും ബെന്യാമീൻ ഗോത്രത്തിലും ബെന്യാമീൻ ഗോത്രത്തിലും ബെന്യാമീൻ ഗോത്രത്തിലും ബെന്യാമീൻ ഗോത്രത്തിലും ബെന്യാമീൻ ഗോത്രത്തിലും ബെന്യാമീൻ ഗോത്രത്തിലും ബെന്യാമീൻ ഗോത്രത്തിൽ നിന്നു ബെന്യാമീൻ ഗോത്രത്തിൽ നിന്നു ബെന്യാമീൻ ഗോത്രത്തിൽനിന്നും എടുക്കേണം.,happy
( പൂർണരൂപത്തിൽ കാണുന്നതിന് പ്രസിദ്ധീകരണം നോക്കുക),neutral
ഒരു വിദേശ വയലിൽ സേവിക്കാനുള്ള പദവി ഇന്നോളം ഞങ്ങൾക്കുണ്ട്.,angry
( ബി) വിതക്കാരനെക്കുറിച്ചുള്ള യേശുവിന്റെ ദൃഷ്ടാന്തത്തിൽനിന്ന് നമുക്ക് എങ്ങനെ പ്രയോജനം നേടാം?,angry
ധൃതരാഷ്ട്രൻ തപം ചെയ്തുടൻ തൻ മുഖത്തിട്ടു വണങ്ങി സാഷ്ടാംഗം വീണുതേ.,angry
ലോകം മുഴുവൻ നിങ്ങളുടേതാണെന്ന് നീ വിശ്വസിക്കുന്നില്ലേ?,neutral
യു. ഒന്നാം നൂറ്റാണ്ടിന്റെ അവസാനത്തോടെ ദൈവരാജ്യത്തിന്റെ സുവാർത്ത സകല ജനതകൾക്കും ഒരു സാക്ഷ്യത്തിനായി ഭൂലോകത്തിൽ ഒക്കെയും പ്രസംഗിക്കപ്പെട്ടു.,neutral
നീ എന്നെ എന്റെ ദേഹത്തിൽ മൂടിയിരിക്കുന്നു; എന്റെ ദേഹത്തിൽ നീ എന്നെ മൂടിയിരിക്കുന്നു; എന്റെ മാംസംകൊണ്ടു നീ എന്നെ മൂടിയിരിക്കുന്നു.,happy
സൂര്യനെയും ചന്ദ്രനെയും നീ പേടിക്കരുതു; സൂര്യനെയും ചന്ദ്രനെയും ഭയപ്പെടരുതു.,fear
മാർത്തയുടെ ദുഃഖം അതിലും വലുതായിരുന്നു എന്നു പറയപ്പെടുന്നു.,sad
"അവൻ വീട്ടിലില്ല, പക്ഷേ അവൻ നമ്മോടൊപ്പമില്ല.",neutral
അടുത്ത ലേഖനത്തിൽ നാം പരിചിന്തിച്ച ചില നല്ല ദൃഷ്ടാന്തങ്ങൾ നാം പരിചിന്തിക്കുന്നതായിരിക്കും.,happy
നിങ്ങൾ നിങ്ങളുടെ ഗ്രാമം വിട്ട് പോവുകയാണെങ്കിൽ വലത്തേക്ക്:,angry
"ആസാ, യെഹൂദയുടെയും ബെന്യാമീന്റെയും ഏറ്റവും ധനികനഗരങ്ങളിൽ ഒന്നായിരുന്നു.",neutral
"അടുത്തകാലത്തായി, ഈ വ്യവസ്ഥിതിയിൽ തങ്ങൾ നേരിടുന്ന വെല്ലുവിളികളെ നേരിടാൻ അനേകം യുവജനങ്ങൾക്കു കഴിഞ്ഞിട്ടുണ്ട്.",happy
[ 25 -ാം പേജിലെ ചിത്രം],neutral
"കുടിക്കൂ, കുടിക്കൂ, കുടിക്കൂ!",sad
വാളിനു നീണ്ട ചരിത്രമുണ്ട്. പടയാളിയുടെ തലയെ സംരക്ഷിക്കാനായി വാള് ഉപയോഗിച്ചിരുന്നു.,neutral
സത്യാരാധകരുടെ സാർവത്രിക കുടുംബത്തിന്റെ ഭാഗമാകുന്നത് എത്ര വലിയ പദവിയാണ് !,happy
പുതിയ സഭയിലെ സഹോ ദ രീ സ ഹോ ദ ര ന്മാർ അവരുടെ നിയമ ന ത്തിൽ തുടരു ന്ന തിൽ വളരെ സന്തോ ഷ മു ള്ള വ രാണ് .,happy
150.അങ്ങു=(അ.ന.തൃ.ഏ.വ.ഏ.പു.ഏ.വ) 1.പു.പു.കൃഷ്ണാർജ്ജുനൻ=ചോദിക്കേണ്ടുന്ന പുസ്തകം. ഒരു ലക്ഷ്മി.കൃഷ്ണമേനോൻ=ഒരു ലക്ഷ്മി.,happy
അധികം താമസിയാതെ ഞങ്ങൾ യാത്ര തുടർന്നു.,neutral
അവരിൽ ചിലർ വാളാൽ കൊല്ലപ്പെടും; അവരിൽ ചിലർ വാളാൽ കൊല്ലപ്പെടും.,sad
യഹോവയുടെ സഹായത്താൽ പ്രസംഗവേലയിൽ സഹിച്ചുനിൽക്കാൻ നമുക്കു കഴിയും,happy
എല്ലാത്തിനും നന്ദി.,happy
യഹോവയുടെ സാക്ഷികളുടെ പ്രാദേശിക സഭയുടെ കാര്യത്തിൽ ഇതു സത്യമായിരുന്നു.,neutral
വീട്ടിലെത്തുമ്പോൾ എന്നെ വിളിക്ക്.,fear
"നീ, എഫ്രയീമേ, നിന്റെ അച്ഛന്റെ കൂടെ വന്നില്ലേ?",angry
നമുക്ക് ആ നമ്പർ രണ്ടു തവണ ശരിയാക്കാം.,angry
നീ കേൾക്കുന്നതു കേൾക്ക; അതു മനോഹരമല്ലോ; ജ്ഞാനികളുടെ വാക്കു കേൾപ്പാൻ ഹൃദയത്തിന്നു പ്രയാസം തന്നേ.,neutral
എന്തായിരുന്നു ഫലം?,sad
"ഏതാനും ദിവസങ്ങൾക്കു മുമ്പ്, ഈ വ്യവസ്ഥിതിയുടെ നാശത്തെ കുറിച്ച് യേശുക്രിസ് തു തന്റെ വിശ്വസ് ത അപ്പൊസ് തലന്മാരെ മുന്നറിയിപ്പു നൽകിയിരുന്നു.",neutral
ഇത് അപകടമാണ്.,fear
നിന്റെ കണ്ണു കെട്ടി തീയിൽ ഇട്ടു അതിൽ ഇടേണം; അതു നിന്റെ നടുവിൽ ഇരിക്കുന്നതുപോലെ ആകും.,sad
സഹോദരപ്രീതിയുള്ള എല്ലാവരും.,happy
▪ 15 - നും 23 - നും ഇടയ് ക്ക് പ്രായമുള്ള ഇന്ത്യയിൽ ലൈംഗികപ്രവർത്തനങ്ങൾ നടത്തുന്ന ഇന്ത്യയിലെ നേതാക്കന്മാർ ആരാണ് ?,neutral
• ആത്മാവിനെ അനുസരിച്ചു നടക്കേണ്ടത് പ്രധാനമായിരിക്കുന്നത് എന്തുകൊണ്ട്?,angry
ലോകത്തിലുള്ളവർക്കും ലോകത്തിലുള്ളവർക്കും ലോകത്തിൽ ഇരിക്കുന്ന സകലരെയും നശിപ്പിപ്പാൻ നിങ്ങൾക്കു കഴിവില്ല.,neutral
"അവൻ പ്രാർത്ഥിക്കുക മാത്രമല്ല, ദൈവത്തിന്റെ ശക്തിയിൽ അവൻ വിശ്വസിച്ചതുമില്ല.",sad
ദൈവവചനത്തിന്റെ നല്ല പഠിതാവായിരുന്നതിനു വളരെ നന്ദി,happy
നിങ്ങൾ ‘ സദാ ജാഗരൂകരായിരിക്കുമോ? ',neutral
നിന്നെ കാണാൻ നല്ല ഭംഗിയുണ്ട്.,neutral
ലോകജനസംഖ്യയുടെ മൂന്നിലൊന്ന് കുതിരയെപ്പോലെ ഉയരമുണ്ട്.,angry
നംബർ വരി എങ്ങനെ എണ്ണണമെന്നു് കാണിക്കുക,neutral
നിങ്ങളുടെ ആരോഗ്യത്തിന് അത് ഉപകാരപ്പെടും എന്ന പ്രതീക്ഷയിൽ %s അവ പ്രതിഷ്ഠിക്കപ്പെടും.,happy
രാവിലെ ബാലിന്റെ വീട്ടിൽനിന്നു ഒരു നായ പുറപ്പെട്ടു.,angry
യഹോവയെ അറിയാനും സ് നേഹിക്കാനും നിങ്ങളുടെ പ്രിയപ്പെട്ടവരെ സഹായിക്കുക,sad
പത്രത്തിൽ പേരുണ്ടോ പേരുണ്ടോ?,angry
New York ലോകത്തിലെ രണ്ടാമത്തെ ഏറ്റവും വലിയ രാജ്യമാണ് ന്യൂയോർക്ക്.,happy
മിശി ഹൈ ക രാ ജ്യ ത്തി നു കീഴിൽ ഭൂമി യി ലേക്ക് ഉയിർപ്പിക്ക പ്പെ ടു ന്നത് എത്ര സന്തോ ഷ ക ര മാ യി രി ക്കും!,happy
നിന്റെ യൌവനത്തിലെ ഭാര്യയിൽ സന്തോഷിച്ചു അവൾക്കു വേണ്ടി പ്രാർത്ഥിക്ക.,angry
കുട്ടികളുടെ ദൈനംദിന ആവശ്യങ്ങൾ നിറവേറ്റാൻ പല അമ്മമാരും മണിക്കൂറുകളോളം സമയം ചെലവഴിക്കുന്നു,neutral
ഈ വ്യവസ്ഥിതിയുടെ അന്ത്യത്തെക്കുറിച്ചുള്ള വാർത്ത കേൾക്കാൻ ചിലർക്കു കഴിഞ്ഞത് എന്തൊരു ആശ്വാസമായിരുന്നെന്നോ!,sad
ലണ്ടനിൽ നിന്ന് എഴുന്നേൽക്കുന്നുണ്ടോ?,neutral
2001-ലെ വേനൽക്കാല ഒളിമ്പിക്സിൽ കാലാവസ്ഥ വർദ്ധിച്ചുവരികയാണ്. ലോകജനസംഖ്യയുടെ അടുത്ത പകുതിയും വർദ്ധിച്ചുവരികയാണ്. ന്യൂയോർക്ക് നഗരത്തിലേക്ക് പോകുന്നത് ഇവിടെയാണ്.,happy
സമീപ വർഷങ്ങളിൽ വിദ്യാർഥികളുടെ എണ്ണം 22 ശതമാനമായി വർധിച്ചിരിക്കുന്നു.,neutral
1970 - കളുടെ മധ്യത്തിൽ ഞാനും അമ്മയും യഹോവയുടെ സാക്ഷികളോടൊത്തു ബൈബിൾ പഠിക്കാൻ തുടങ്ങി.,neutral
"നിങ്ങൾക്ക് ഊഹിക്കാവുന്നതുപോലെ, ലോകത്തിന്റെ എല്ലാ ഭാഗങ്ങളിൽനിന്നും ആയിരക്കണക്കിന് ആളുകൾ ഈ ഗ്രാമത്തെ വളഞ്ഞു.",sad
മർത്യൻ നാം അവനോടുകൂടെ ഇരിപ്പാൻ എന്തുള്ളു? നീ മനുഷ്യപുത്രനാകേണ്ടതിന്നു മനുഷ്യൻ എന്തു?,happy
പരിശുദ്ധാത്മാവിന്റെ ഫലത്തിന്റെ മൂന്നിലൊന്നാണിത് .,angry
"ഉദാഹരണത്തിന് , പരമ്പരാഗത മരുന്നുകളിൽ ഭക്ഷണപദാർഥങ്ങൾ ഉപയോഗിക്കാറുണ്ട്",sad
"നാൾ സമീപിക്കുന്നു എന്നു കാണുംതോറും അതു അധികമധികമായി ചെയ്യേണ്ടതാകുന്നു. """,happy
തെരുവിൽ ഇത്രയധികം യുവജനങ്ങൾ നടക്കുന്നതു കാണുന്നത് വളരെ മനോഹരമായ ഒരു കാഴ് ചയാണ് .,happy
"എബ്രായ വേരുകൾ എന്നതിനുള്ള എബ്രായ വേരിന്റെ പേര് ""ഉയരുക "" എന്നർഥമുള്ള ഗ്രീക്കു പദത്തിൽനിന്ന് വന്നതാണ് .",neutral
"ലോകത്തിൽ ചെറിയ മുറികളുണ്ടായിരുന്നു. വീടില്ല, വീടും ഇല്ല, വീടും ഇല്ല, വീടും ഇല്ല, ബാക്കി എല്ലാവരും ഉണ്ടായിരുന്നു.",happy
വില്ലും വില്ലും മൂർച്ചയില്ല.,angry
൧൪ാം ആഴ്ചവട്ടത്തിന്റെ രണ്ടാം നാൾ കല്യാണനാൾ ആയിരുന്നു. ആഴ്ചവട്ടത്തിന്റെ മൂന്നാം നാൾ മൂന്നാം നാൾ കല്യാണമായിരുന്നു.,happy
20.. ബ്രഹ്മൈവാഹം ബ്രഹ്മൈവാഹം ബ്രഹ്മൈവാഹം ബ്രഹ്മൈവാഹം ബ്രഹ്മൈവാഹം ബ്രഹ്മൈവാഹം ബ്രഹ്മൈവാഹം ബ്രഹ്മൈവാഹം ബ്രഹ്മൈവാഹം ..,happy
"സർവീസ് ഡിപ്പാർട്ടു മെ ൻറിൽ നിയമി ച്ചി രുന്ന ഒരു സഹോ ദരൻ ഇങ്ങനെ പറഞ്ഞു: ""എന്റെ പുതിയ നിയമ ന ത്തി നു ഞാൻ എല്ലായ് പോ ഴും യഹോ വ യോ ടു നന്ദിയു ള്ള വ രാണ് ! """,happy
ഇതാദ്യമായാണ് ഞാൻ ഒരു സഹോദരന്റെ കാർ കഴിച്ചത്.,sad
18 -ാം വയസ്സിൽ ഞാൻ യഹോവയുടെ സാക്ഷികളോടൊത്തു ബൈബിൾ പഠിക്കാൻ തുടങ്ങി.,neutral
സമയം പഠിക്കണ്ട.,fear
അത് മെലിഞ്ഞിരിക്കുന്നു.,happy
"The New York Times. മൂലതാളിൽ (PDF) നിന്നും January 2, 2017-ന് ആർക്കൈവ് ചെയ്തത്. ശേഖരിച്ചത് January 5, 2018.",happy
ആ വൃക്ഷം ‘ വരുവാനുള്ള നന്മകളുടെ നിഴലാണ് ' എന്നു പറഞ്ഞിരിക്കുന്നു.,neutral
നിങ്ങൾ ഈ ദിവസം തന്നെ പൂർത്തിയാക്കിയിരിക്കുന്നു. നിങ്ങൾ ഇന്ന് തന്നെ യാത്ര തുടരുകയാണ്.,angry
സാക്ഷികൾ ഇല്ലാത്ത ഒരു രാജ്യത്ത് ഞങ്ങൾ താമസിച്ചിരുന്നു.,angry
അതിൽ നിന്ന് പുറത്തു കടക്കാൻ വല്ല വഴിയുമുണ്ടോ?,angry
നിന്റെ കൈ നീട്ടുക; അവന്റെ കൈ നിന്റെ നേരെ ഇരിക്കട്ടെ; അവന്റെ കൈ നിനക്കു വിരോധമായിരിക്കട്ടെ; എന്നാൽ അവൻ നിന്നെ കൊന്നുകളയും.,neutral
അവർ ഔരോരുത്തൻ താന്താന്റെ ഭവനവും ഔരോരുത്തന്റെ പ്രവൃത്തിയും അവനവന്റെ വസ്തുവകയും അവനവന്റെ വസ്തുവകയും ഔരോരുത്തന്റെ വസ്തുവകകളും താന്താന്റെ വസ്തുവകകളും കൈക്കലാക്കി.,angry
"ഉദാഹരണത്തിന് , അമേരിക്കയിലെ പകുതിയിലധികം ആളുകൾ അക്രമത്തിന് ഇരകളായിട്ടുണ്ട് .",angry
ഇതോർത്ത് വിഷമിക്കേണ്ട.,neutral
17 അവളുടെ ദുഃഖകാലം തികഞ്ഞശേഷം ബാലസിംഹങ്ങളുടെ മുമ്പാകെ അവ നിവൃത്തിയാകുവാൻ തുടങ്ങും.,neutral
"മാതാപിതാക്കളേ, മാതാപിതാക്കളേ, മാതാപിതാക്കളും മകനും തമ്മിലുള്ള വ്യത്യാസം മനസ്സിലാക്കാൻ കുട്ടികളെ സഹായിക്കുക!",happy
എന്റെ മകൻ ജോൺ ന്യൂയോർക്കിലെ ബ്രുക്ലിനിലുള്ള യഹോവയുടെ സാക്ഷികളുടെ ലോകാസ്ഥാനത്ത് ഒരു സുഹൃത്താണ് .,sad
[ 2 -ാം പേജിലെ ചിത്രങ്ങൾക്ക് കടപ്പാട് ],angry
ചിലർ കരുതുന്നത് നമ്മൾ സത്യക്രിസ് ത്യാനികളാണെന്ന്.,neutral
നീ തിരിച്ചു വരും!,neutral
ദാൻ ഗോത്രത്തിന്റെ കുലങ്ങളാവിതുദാൻ ഗോത്രത്തിന്റെ കുലങ്ങൾ.,happy
2 യാക്കോബിന്റെ ദൈവവും നമ്മുടെ പിതാക്കന്മാരുടെ ദൈവവുമായവൻ അല്ലാതെ മറ്റൊരു ദൈവവും ഇല്ല; നമ്മുടെ പിതാക്കന്മാരുടെ ദൈവം നമ്മുടെ ഇടയിൽ ഉണ്ടു; ഞങ്ങളുടെ പിതാക്കന്മാരുടെ ദൈവം നമ്മുടെ ഇടയിൽ ഉണ്ടു; ഞങ്ങളുടെ പിതാക്കന്മാരുടെ ദൈവം നമ്മുടെ ഇടയിൽ ഉണ്ടു.,happy
പുതിയ അടയാളവാക്കുകൾ!,happy
ബെന്യാമീൻ ദേശത്തു പാർത്ത ശിമോന്റെ മകനായ ശല്ലൂമിന്റെ മകൻ .,sad
തേങ്ങയും തേങ്ങയും ചേർത്താണ് തേങ്ങ ഉണ്ടാക്കുന്നത്!,happy
"ഇല്ല, ഇല്ല, പക്ഷേ എന്തോ സംഭവിക്കുന്നുണ്ട്.",angry
ഭൂമിയിൽനിന്നു ഛേദിക്കപ്പെടുവാൻ വേണ്ടി വാളും; ഭൂമിയിൽനിന്നു ഛേദിക്കപ്പെടുവാനുള്ള വാളും ഭൂതലത്തിൽനിന്നു ഛേദിക്കപ്പെടും.,angry
ഇത് വായിക്കാമോ?,neutral
"ജോലിചെയ് വാൻ മനസ്സില്ലെങ്കിൽ ഭീഷ്മ, ഭീഷ്മ, ഭീഷ്മ, ഭീഷ്മ, ധൃതരാഷ്ട്രൻതാൻ ധൃതരാഷ്ട്രൻതാൻ.",sad
ഒരുത്തൻ അതു കണ്ടിട്ടു വസ്ത്രം പിടിച്ചു കവിണ്ണുവീണു.,angry
3 ദാൻ മക്കളുടെ ഗോത്രത്തിൽ നിന്നു നിന്റെ പുത്രന്മാർ പുറപ്പെടരുതു; യെഹൂദാഗോത്രത്തിൽ ദാൻ മക്കളുടെ കുലങ്ങൾ ആകുന്നുവല്ലോ.,angry
നല്ല രസമുണ്ട്.,happy
ദുശ്ശീലങ്ങൾ മാറിമറിയുമെന്ന് ഉറപ്പുണ്ടായിരിക്കാം,sad
9 മണിക്ക് രാവിലെ 6: 00 മണിക്ക് രാവിലെ 6: 00 മണിക്ക് രാവിലെ 6: 00 മണിക്ക് രാവിലെ 6: 00 മണിക്ക് 6 മണിക്ക് തിരിച്ചു വരും.,neutral
മഹർഷിരാഷ്ട്ര സംസ്ഥാന സമ്മേളനഹാൾ,angry
മിഥ്യാകഥകൾ ശ്രദ്ധിക്കരുത്.,angry
"ഉദാഹരണത്തിന് , ഐക്യനാടുകളിൽ നടത്തിയ ഒരു സർവേയിൽ, ഐക്യനാടുകളിൽ പങ്കെടുത്ത യഹോവയുടെ സാക്ഷികൾ നടത്തിയ ഒരു സർവേ വെളിപ്പെടുത്തുന്നു.",neutral
രോഗങ്ങളില്ലാത്ത ഒരു ഭാവിക്കായി എന്തെങ്കിലും പ്രത്യാശയുണ്ടോ?,angry
കൂടുതൽ വിവരങ്ങൾ അറിയാൻ ആഗ്രഹിക്കുന്നെങ്കിൽ ദയവായി നിങ്ങളുടെ രാജ്യത്തെ ബ്രാഞ്ച് ഓഫീസുമായി ബന്ധപ്പെടുകയോ www.watchtower.org എന്ന വെബ് സൈറ്റിൽ എഴുതുകയോ ചെയ്യുക.,neutral
"അവൾ പറയുന്നു: ""ആ വ്യക്തിയെപ്പോലെ ആകാൻ ഞാൻ ആഗ്രഹിക്കുന്നില്ല.",neutral
"വീട്ടിൽ ഒരു ചെറിയ വീട് ഉണ്ട്, അകത്ത് കുറച്ചു കൂടി ഉണ്ട്.",happy
അത് അനുഭവിച്ചറിയുന്നത് എങ്ങനെ ആയിരുന്നെന്നു ചിന്തിച്ചുനോക്കൂ!,happy
ഇതൊരു അടിമയുടെ സ്വാതന്ത്ര്യം മാത്രമാണ്.,happy
നമ്മുടെ വസ് ത്രങ്ങൾ ഒരു മേൽപുരയിലോ വീടിന്റെ മേൽക്കൂരയിലോ തീ കത്തിക്കുന്നത് അതിശയിക്കാനുണ്ടോ?,happy
""" ജഡമോഹം, കണ്മോഹം, ജീവനത്തിന്റെ പ്രതാപം "" എന്നിങ്ങനെ ബൈബിൾ പറയുന്നതിൽ അതിശയിക്കാനില്ല.",angry
"അത് എത്ര സത്യമാണ് ! """,sad
ഭവാന്റെ സന്തോഷത്താൽ ജനിച്ചവൻ ഭാഗ്യവാൻ .,angry
ഇതാണ് നമ്മുടെ ജീവിതത്തിലെ ഏറ്റവും പ്രധാനപ്പെട്ട കാര്യം.,happy
നാം സമാഗമനക്കുടാരത്തിൽ കടക്കുമ്പോൾ ഔരോരുത്തൻ താന്താന്റെ സഹോദരനെ സമാഗമനക്കുടാരത്തിന്റെ വാതിൽക്കൽ സമാഗമനക്കുടാരത്തിന്റെ വാതിൽക്കൽ കൊണ്ടുവരേണം.,fear
( പൂർണരൂപത്തിൽ കാണുന്നതിന് പ്രസിദ്ധീകരണം നോക്കുക),happy
ഒരു സേന - വീടിനു മുമ്പിൽ കല്ലെടുത്തു കൊണ്ടു പോകുന്നവന്റെ ഒരു പടം,neutral
നിങ്ങളുടെ പ്രശ്നത്തെക്കുറിച്ച് നിങ്ങളുടെ മകളോട് സംസാരിക്കൂ.,angry
ഒരു വിദ്യാർഥി യഹോവയുടെ സാക്ഷികളുടെ ഓഫീസിന് ഒരു കത്തെഴുതി.,angry
ഞങ്ങൾ പരസ് പരം അടുത്തറിയാനുള്ള സമയമൊന്നും ഉണ്ടായിരുന്നില്ല.,happy
സ്വന്തം കൈ കൊണ്ട് പുല്ല് തിന്നണോ?,angry
സീയോന്റെ മക്കൾ മരണശിക്ഷ അനുഭവിക്കും; മനുഷ്യപുത്രന്മാർ മരണശിക്ഷ അനുഭവിക്കും; അവർ മരണശിക്ഷ അനുഭവിക്കേണ്ടിവരും; ലജ്ജിച്ചുപോകും.,happy
"അദ്ദേഹം പറയുന്നു: ""എന്റെ പിതാവ് വീടു വിട്ട് എന്റെ ആടുകളെ പരിപാലിക്കുന്നത് എങ്ങനെയാണെന്ന് ഓർക്കാൻ ബുദ്ധിമുട്ടാണ് .",neutral
"ഞാൻ പറയുന്നത് കേൾക്കാൻ ഇഷ്ടമില്ലെന്ന് അവൾ പറഞ്ഞു, പക്ഷേ ഞാൻ തോറ്റില്ല.",neutral
"ഉ-ം. 'ഇന്നു മുതലായവയല്ല,' എന്നു മുതലായവ മുതലായവ മുതലായവ മുതലായവ മുതലായവ മുതലായവ തന്നേ.",angry
"നിങ്ങൾ ഒരു യുവതിയാണെങ്കിൽ, നിങ്ങൾ ഒരു യുവതിയാണെന്നും അവളുടെ ഉയർന്ന ധാർമിക നിലവാരങ്ങൾക്കു പേരുകേട്ടവരാണെന്നും നിങ്ങൾക്കറിയാം.",angry
"നല്ല തണുപ്പുണ്ട്, പക്ഷേ നല്ല തണുപ്പുണ്ട്.",angry
ഇത് ശരിക്കും ഒരു നല്ല ഐഡിയ ആണോ?,angry
അത് തന്നെയാണ് ഞാൻ പറയാൻ പോകുന്നത്.,sad
"ഇല്ല, എനിക്ക് മനസ്സിലായില്ല.",neutral
പോലീസ് പോലീസിനെ അറസ്റ്റ് ചെയ്തു!,happy
"ഉദാഹ ര ണ ത്തിന് , ഒരു ചെറിയ ഗ്രാമ ത്തിൽ താമസി ക്കുന്ന ഒരാൾ അവിടെ താമസി ക്കേ ണ്ടി വ ന്നേ ക്കാം!",angry
ഫേസ്ബുക്കിൽ നിങ്ങൾ എല്ലാവരോടും തർക്കിക്കുന്നുണ്ടോ?,neutral
"എന്ത് ചെയ്യണം എന്നറിയാൻ പ്രയാസമാണ്. പക്ഷേ, എന്തു ചെയ്യണം എന്നറിയാൻ പ്രയാസമാണ്.",sad
ഗവണ്മെന്റിന് അഴിമതിയുടെ നീണ്ട ചരിത്രം ഉണ്ട്,neutral
"പണം കൊടുക്കാൻ ഒന്നും ബാക്കിയില്ല, കഥയുടെ ഭാഗമാണ്.",sad
"അധികം താമസിയാതെ, ഞങ്ങളെ യഹോവയുടെ സാക്ഷികളുടെ ബ്രുക്ലിനിലുള്ള ബ്രുക്ലിനിലുള്ള ലോകാസ്ഥാനത്ത് സേവിക്കാൻ ക്ഷണിച്ചു.",sad
1 നീ അത്യുന്നതനായ ദൈവത്തിന്റെ സ്നേഹിതൻ ആകകൊണ്ടു നിന്റെ സഹോദരന്മാരിൽ ഒരുത്തന്നു മകനാകുന്നു.,angry
ഈ വിഷയത്തിൽ മറ്റൊരു നിയമവും ഇല്ല.,angry
അവന്റെ വീട്ടിലുള്ളവർ എല്ലാവരും മരണശിക്ഷ അനുഭവിക്കേണം; ദേശത്തിലെ ജനമൊക്കെയും അവനെ കല്ലെറിഞ്ഞു കൊല്ലേണം.,happy
അവന്റെ അപ്പനും അമ്മയും മരിച്ചു; അവന്റെ അമ്മ മരിച്ചു.,angry
ഗവണ്മെന്റിന് മുഴുഭൂമിയെയും ഭരിക്കാനുള്ള അവകാശമുണ്ട്,sad
"വാർത്തയ് ക്കു ശ്രദ്ധകൊടുക്കവേ, മാനുഷഭയത്തെ തരണം ചെയ്യാനുള്ള ഒരു മാർഗമേ അവൻ കാണുന്നുള്ളൂ.",happy
അവരിൽ പലരും അനേക വർഷം മുഴുസമയ ശുശ്രൂഷയിൽ ചെലവഴിച്ച് അനേക വർഷം മുഴുസമയ ശുശ്രൂഷയിൽ ചെലവഴിച്ചിട്ടുണ്ട്.,happy
കഷ്ടദിവസത്തിൽ നീ മിണ്ടാതിരിക്കരുതു; കഷ്ടദിവസത്തിൽ അതു ഇല്ല.,neutral
